# input file for SMUDGE.PRO
# LOCATION <tab> UNIT <tab> LABEL <tab> KEYWORDS
# NOTE: This file is also readable by RDB.PRO
%LOC	UNITS	LABEL	KEYWORDS
%N	S	S	S

# examples
0.4415	keV	Ca II    LS	Ca II    LS-edge edgeenergy
0.4314	keV	Ar VII   LS	Ar VII   LS-edge edgeenergy
0.4302	keV	Ni XIV   MP	Ni XIV   MP-edge edgeenergy
0.4296	keV	S IX     LS	S IX     LS-edge edgeenergy
0.4291	keV	Ni XIII  MS	Ni XIII  MS-edge edgeenergy
0.4238	keV	Fe XIV   MS	Fe XIV   MS-edge edgeenergy
0.4236	keV	N II     K	N II     K-edge edgeenergy
0.4234	keV	Si X     LS	Si X     LS-edge edgeenergy
0.4225	keV	Ar IX    LP	Ar IX    LP-edge edgeenergy
0.4175	keV	Ca V     LP	Ca V     LP-edge edgeenergy
0.4076	keV	Ar VI    LS	Ar VI    LS-edge edgeenergy
0.4048	keV	N I      K	N I      K-edge edgeenergy
0.4014	keV	Si X     LP	Si X     LP-edge edgeenergy
0.3944	keV	Ca IV    LP	Ca IV    LP-edge edgeenergy
0.3933	keV	Ni XII   MS	Ni XII   MS-edge edgeenergy
0.3925	keV	Ar VIII  LP	Ar VIII  LP-edge edgeenergy
0.3922	keV	Fe XIV   MP	Fe XIV   MP-edge edgeenergy
0.3921	keV	C V      K	C V      K-edge edgeenergy
0.3916	keV	Fe XIII  MS	Fe XIII  MS-edge edgeenergy
0.3852	keV	Ar V     LS	Ar V     LS-edge edgeenergy
0.384	keV	Ni XIII  MP	Ni XIII  MP-edge edgeenergy
0.3797	keV	S VIII   LS	S VIII   LS-edge edgeenergy
0.3791	keV	S IX     LP	S IX     LP-edge edgeenergy
0.3756	keV	Si IX    LS	Si IX    LS-edge edgeenergy
0.3731	keV	Ca III   LP	Ca III   LP-edge edgeenergy
0.3675	keV	Mg X     LS	Mg X     LS-edge edgeenergy
0.3667	keV	Ar VII   LP	Ar VII   LP-edge edgeenergy
0.3642	keV	Ar IV    LS	Ar IV    LS-edge edgeenergy
0.3638	keV	Ca II    LP	Ca II    LP-edge edgeenergy
0.362	keV	Ni XI    MS	Ni XI    MS-edge edgeenergy
0.361	keV	Fe XIII  MP	Fe XIII  MP-edge edgeenergy
0.36	keV	Fe XII   MS	Fe XII   MS-edge edgeenergy
0.3523	keV	Ca I     LP	Ca I     LP-edge edgeenergy
0.3522	keV	C IV     K	C IV     K-edge edgeenergy
0.3521	keV	Ni XII   MP	Ni XII   MP-edge edgeenergy
0.3511	keV	Si IX    LP	Si IX    LP-edge edgeenergy
0.3455	keV	Ar III   LS	Ar III   LS-edge edgeenergy
0.3426	keV	Ar VI    LP	Ar VI    LP-edge edgeenergy
0.3321	keV	S VII    LS	S VII    LS-edge edgeenergy
0.3317	keV	Ar II    LS	Ar II    LS-edge edgeenergy
0.331	keV	Si VIII  LS	Si VIII  LS-edge edgeenergy
0.3308	keV	Fe XII   MP	Fe XII   MP-edge edgeenergy
0.3292	keV	Fe XI    MS	Fe XI    MS-edge edgeenergy
0.329	keV	Ni X     MS	Ni X     MS-edge edgeenergy
0.3289	keV	C III    K	C III    K-edge edgeenergy
0.3282	keV	Mg IX    LS	Mg IX    LS-edge edgeenergy
0.3282	keV	S VIII   LP	S VIII   LP-edge edgeenergy
0.326	keV	Ar I     LS	Ar I     LS-edge edgeenergy
0.321	keV	Ni XI    MP	Ni XI    MP-edge edgeenergy
0.32	keV	Ar V     LP	Ar V     LP-edge edgeenergy
0.3094	keV	S VI     LS	S VI     LS-edge edgeenergy
0.3076	keV	C II     K	C II     K-edge edgeenergy
0.3032	keV	Si VIII  LP	Si VIII  LP-edge edgeenergy
0.299	keV	Fe X     MS	Fe X     MS-edge edgeenergy
0.2987	keV	Ar IV    LP	Ar IV    LP-edge edgeenergy
0.2972	keV	Ni IX    MS	Ni IX    MS-edge edgeenergy
0.291	keV	C I      K	C I      K-edge edgeenergy
0.2902	keV	Fe XI    MP	Fe XI    MP-edge edgeenergy
0.2888	keV	S V      LS	S V      LS-edge edgeenergy
0.2877	keV	Ni X     MP	Ni X     MP-edge edgeenergy
0.2872	keV	Si VII   LS	Si VII   LS-edge edgeenergy
0.2839	keV	Mg VIII  LS	Mg VIII  LS-edge edgeenergy
0.2809	keV	S VII    LP	S VII    LP-edge edgeenergy
0.2801	keV	Ar III   LP	Ar III   LP-edge edgeenergy
0.2703	keV	S IV     LS	S IV     LS-edge edgeenergy
0.2696	keV	Fe IX    MS	Fe IX    MS-edge edgeenergy
0.2682	keV	Ni VIII  MS	Ni VIII  MS-edge edgeenergy
0.2662	keV	Ar II    LP	Ar II    LP-edge edgeenergy
0.266	keV	Mg VIII  LP	Mg VIII  LP-edge edgeenergy
0.2621	keV	Fe X     MP	Fe X     MP-edge edgeenergy
0.2561	keV	Ni IX    MP	Ni IX    MP-edge edgeenergy
0.2557	keV	S VI     LP	S VI     LP-edge edgeenergy
0.2536	keV	S III    LS	S III    LS-edge edgeenergy
0.2492	keV	Ar I     LP	Ar I     LP-edge edgeenergy
0.2468	keV	Si VI    LS	Si VI    LS-edge edgeenergy
0.2465	keV	Si VII   LP	Si VII   LP-edge edgeenergy
0.2444	keV	Mg VII   LS	Mg VII   LS-edge edgeenergy
0.2409	keV	Fe VIII  MS	Fe VIII  MS-edge edgeenergy
0.2391	keV	Ne VIII  LS	Ne VIII  LS-edge edgeenergy
0.2387	keV	S II     LS	S II     LS-edge edgeenergy
0.2378	keV	Ni VII   MS	Ni VII   MS-edge edgeenergy
0.235	keV	S I      LS	S I      LS-edge edgeenergy
0.235	keV	S V      LP	S V      LP-edge edgeenergy
0.2336	keV	Fe IX    MP	Fe IX    MP-edge edgeenergy
0.2266	keV	Ni VIII  MP	Ni VIII  MP-edge edgeenergy
0.2249	keV	Mg VII   LP	Mg VII   LP-edge edgeenergy
0.2246	keV	Ni X     MD	Ni X     MD-edge edgeenergy
0.2164	keV	S IV     LP	S IV     LP-edge edgeenergy
0.2135	keV	Fe VII   MS	Fe VII   MS-edge edgeenergy
0.2119	keV	Ni VI    MS	Ni VI    MS-edge edgeenergy
0.2113	keV	Ca X     MS	Ca X     MS-edge edgeenergy
0.2076	keV	Mg VI    LS	Mg VI    LS-edge edgeenergy
0.2076	keV	Si V     LS	Si V     LS-edge edgeenergy
0.2073	keV	Ne VII   LS	Ne VII   LS-edge edgeenergy
0.2055	keV	Fe VIII  MP	Fe VIII  MP-edge edgeenergy
0.2051	keV	Si VI    LP	Si VI    LP-edge edgeenergy
0.1995	keV	S III    LP	S III    LP-edge edgeenergy
0.1971	keV	Ni VII   MP	Ni VII   MP-edge edgeenergy
0.193	keV	Ni IX    MD	Ni IX    MD-edge edgeenergy
0.1899	keV	Si IV    LS	Si IV    LS-edge edgeenergy
0.1883	keV	Ca IX    MS	Ca IX    MS-edge edgeenergy
0.1876	keV	Fe VI    MS	Fe VI    MS-edge edgeenergy
0.1865	keV	Mg VI    LP	Mg VI    LP-edge edgeenergy
0.1849	keV	Ni V     MS	Ni V     MS-edge edgeenergy
0.1846	keV	S II     LP	S II     LP-edge edgeenergy
0.1783	keV	Fe VII   MP	Fe VII   MP-edge edgeenergy
0.1744	keV	Si III   LS	Si III   LS-edge edgeenergy
0.1735	keV	Mg V     LS	Mg V     LS-edge edgeenergy
0.1719	keV	Ne VI    LS	Ne VI    LS-edge edgeenergy
0.1709	keV	Ni VI    MP	Ni VI    MP-edge edgeenergy
0.17	keV	S I      LP	S I      LP-edge edgeenergy
0.1668	keV	Si V     LP	Si V     LP-edge edgeenergy
0.1664	keV	Ca VIII  MS	Ca VIII  MS-edge edgeenergy
0.1633	keV	Fe V     MS	Fe V     MS-edge edgeenergy
0.162	keV	Ni VIII  MD	Ni VIII  MD-edge edgeenergy
0.1619	keV	Si II    LS	Si II    LS-edge edgeenergy
0.1597	keV	Ni IV    MS	Ni IV    MS-edge edgeenergy
0.1579	keV	Ne VI    LP	Ne VI    LP-edge edgeenergy
0.156	keV	Si I     LS	Si I     LS-edge edgeenergy
0.1527	keV	Fe VI    MP	Fe VI    MP-edge edgeenergy
0.1511	keV	Fe VIII  MD	Fe VIII  MD-edge edgeenergy
0.1472	keV	Ca VIII  MP	Ca VIII  MP-edge edgeenergy
0.1466	keV	Si IV    LP	Si IV    LP-edge edgeenergy
0.1452	keV	Ca VII   MS	Ca VII   MS-edge edgeenergy
0.1447	keV	Ni V     MP	Ni V     MP-edge edgeenergy
0.1435	keV	Ar VIII  MS	Ar VIII  MS-edge edgeenergy
0.1415	keV	Ne V     LS	Ne V     LS-edge edgeenergy
0.1413	keV	Mg V     LP	Mg V     LP-edge edgeenergy
0.1411	keV	Mg IV    LS	Mg IV    LS-edge edgeenergy
0.1411	keV	Fe IV    MS	Fe IV    MS-edge edgeenergy
0.1401	keV	Ni III   MS	Ni III   MS-edge edgeenergy
0.1381	keV	O VI     LS	O VI     LS-edge edgeenergy
0.133	keV	Ni VII   MD	Ni VII   MD-edge edgeenergy
0.1311	keV	Si III   LP	Si III   LP-edge edgeenergy
0.1288	keV	Fe V     MP	Fe V     MP-edge edgeenergy
0.1272	keV	Ca VII   MP	Ca VII   MP-edge edgeenergy
0.1262	keV	Ne V     LP	Ne V     LP-edge edgeenergy
0.125	keV	Fe VII   MD	Fe VII   MD-edge edgeenergy
0.125	keV	Ni I     MS	Ni I     MS-edge edgeenergy
0.1249	keV	Ca VI    MS	Ca VI    MS-edge edgeenergy
0.1243	keV	Ar VII   MS	Ar VII   MS-edge edgeenergy
0.1219	keV	Ni II    MS	Ni II    MS-edge edgeenergy
0.1211	keV	Fe III   MS	Fe III   MS-edge edgeenergy
0.1201	keV	Ni IV    MP	Ni IV    MP-edge edgeenergy
0.1186	keV	Si II    LP	Si II    LP-edge edgeenergy
0.1139	keV	O V      LS	O V      LS-edge edgeenergy
0.1132	keV	Ne IV    LS	Ne IV    LS-edge edgeenergy
0.1111	keV	Mg III   LS	Mg III   LS-edge edgeenergy
0.1102	keV	Fe II    MS	Fe II    MS-edge edgeenergy
0.1093	keV	Mg IV    LP	Mg IV    LP-edge edgeenergy
0.1088	keV	Ca VI    MP	Ca VI    MP-edge edgeenergy
0.108	keV	Ni VI    MD	Ni VI    MD-edge edgeenergy
0.1067	keV	Fe IV    MP	Fe IV    MP-edge edgeenergy
0.106	keV	Si I     LP	Si I     LP-edge edgeenergy
0.1056	keV	Ar VI    MS	Ar VI    MS-edge edgeenergy
0.1054	keV	Ca V     MS	Ca V     MS-edge edgeenergy
0.104	keV	Fe I     MS	Fe I     MS-edge edgeenergy
0.1003	keV	Ni III   MP	Ni III   MP-edge edgeenergy
0.09906	keV	Fe VI    MD	Fe VI    MD-edge edgeenergy
0.09881	keV	Mg II    LS	Mg II    LS-edge edgeenergy
0.09789	keV	N V      LS	N V      LS-edge edgeenergy
0.09712	keV	Ne IV    LP	Ne IV    LP-edge edgeenergy
0.094	keV	Mg I     LS	Mg I     LS-edge edgeenergy
0.09101	keV	Ar VI    MP	Ar VI    MP-edge edgeenergy
0.08828	keV	Ar V     MS	Ar V     MS-edge edgeenergy
0.08805	keV	S VI     MS	S VI     MS-edge edgeenergy
0.08737	keV	O IV     LS	O IV     LS-edge edgeenergy
0.08721	keV	Ne III   LS	Ne III   LS-edge edgeenergy
0.08705	keV	Fe III   MP	Fe III   MP-edge edgeenergy
0.0868	keV	Ca IV    MS	Ca IV    MS-edge edgeenergy
0.08451	keV	Ca V     MP	Ca V     MP-edge edgeenergy
0.08232	keV	Ni II    MP	Ni II    MP-edge edgeenergy
0.082	keV	Ni I     MP	Ni I     MP-edge edgeenergy
0.08014	keV	Mg III   LP	Mg III   LP-edge edgeenergy
0.07747	keV	N IV     LS	N IV     LS-edge edgeenergy
0.07741	keV	O IV     LP	O IV     LP-edge edgeenergy
0.07617	keV	Fe II    MP	Fe II    MP-edge edgeenergy
0.0761	keV	Ni V     MD	Ni V     MD-edge edgeenergy
0.07502	keV	Ar V     MP	Ar V     MP-edge edgeenergy
0.07501	keV	Fe V     MD	Fe V     MD-edge edgeenergy
0.07268	keV	S V      MS	S V      MS-edge edgeenergy
0.07174	keV	Ar IV    MS	Ar IV    MS-edge edgeenergy
0.0692	keV	Ca III   MS	Ca III   MS-edge edgeenergy
0.06727	keV	Ca IV    MP	Ca IV    MP-edge edgeenergy
0.066	keV	Fe I     MP	Fe I     MP-edge edgeenergy
0.06569	keV	Mg II    LP	Mg II    LP-edge edgeenergy
0.06551	keV	O III    LS	O III    LS-edge edgeenergy
0.06449	keV	C IV     LS	C IV     LS-edge edgeenergy
0.06374	keV	Ne II    LS	Ne II    LS-edge edgeenergy
0.06346	keV	Ne III   LP	Ne III   LP-edge edgeenergy
0.06037	keV	Ca II    MS	Ca II    MS-edge edgeenergy
0.05981	keV	Ar IV    MP	Ar IV    MP-edge edgeenergy
0.0575	keV	S IV     MS	S IV     MS-edge edgeenergy
0.05637	keV	Ar III   MS	Ar III   MS-edge edgeenergy
0.05545	keV	N III    LS	N III    LS-edge edgeenergy
0.05494	keV	O III    LP	O III    LP-edge edgeenergy
0.0549	keV	Mg I     LP	Mg I     LP-edge edgeenergy
0.0549	keV	Ni IV    MD	Ni IV    MD-edge edgeenergy
0.0548	keV	Fe IV    MD	Fe IV    MD-edge edgeenergy
0.05442	keV	He II    K	He II    K-edge edgeenergy
0.05091	keV	Ca III   MP	Ca III   MP-edge edgeenergy
0.04847	keV	Ne I     LS	Ne I     LS-edge edgeenergy
0.0483	keV	Ca I     MS	Ca I     MS-edge edgeenergy
0.04789	keV	C III    LS	C III    LS-edge edgeenergy
0.04745	keV	N III    LP	N III    LP-edge edgeenergy
0.04731	keV	S IV     MP	S IV     MP-edge edgeenergy
0.04599	keV	O II     LS	O II     LS-edge edgeenergy
0.04514	keV	Si IV    MS	Si IV    MS-edge edgeenergy
0.04415	keV	S III    MS	S III    MS-edge edgeenergy
0.04198	keV	Ar II    MS	Ar II    MS-edge edgeenergy
0.04096	keV	Ne II    LP	Ne II    LP-edge edgeenergy
0.0409	keV	Ca II    MP	Ca II    MP-edge edgeenergy
0.04074	keV	Ar III   MP	Ar III   MP-edge edgeenergy
0.03796	keV	N II     LS	N II     LS-edge edgeenergy
0.03532	keV	Ni III   MD	Ni III   MD-edge edgeenergy
0.03512	keV	O II     LP	O II     LP-edge edgeenergy
0.03483	keV	S III    MP	S III    MP-edge edgeenergy
0.03443	keV	Ca I     MP	Ca I     MP-edge edgeenergy
0.03349	keV	Si III   MS	Si III   MS-edge edgeenergy
0.0319	keV	S II     MS	S II     MS-edge edgeenergy
0.03065	keV	Fe III   MD	Fe III   MD-edge edgeenergy
0.03047	keV	C II     LS	C II     LS-edge edgeenergy
0.0296	keV	N II     LP	N II     LP-edge edgeenergy
0.02892	keV	Ar I     MS	Ar I     MS-edge edgeenergy
0.02848	keV	O I      LS	O I      LS-edge edgeenergy
0.02763	keV	Ar II    MP	Ar II    MP-edge edgeenergy
0.02541	keV	N I      LS	N I      LS-edge edgeenergy
0.02459	keV	He I     K	He I     K-edge edgeenergy
0.02438	keV	C II     LP	C II     LP-edge edgeenergy
0.02333	keV	S II     MP	S II     MP-edge edgeenergy
0.0224	keV	Si II    MS	Si II    MS-edge edgeenergy
0.02193	keV	Fe II    MD	Fe II    MD-edge edgeenergy
0.02156	keV	Ne I     LP	Ne I     LP-edge edgeenergy
0.0213	keV	S I      MS	S I      MS-edge edgeenergy
0.01939	keV	C I      LS	C I      LS-edge edgeenergy
0.01817	keV	Ni II    MD	Ni II    MD-edge edgeenergy
0.017	keV	Ni I     MD	Ni I     MD-edge edgeenergy
0.01635	keV	Si II    MP	Si II    MP-edge edgeenergy
0.01619	keV	Fe II    N	Fe II    N-edge edgeenergy
0.01576	keV	Ar I     MP	Ar I     MP-edge edgeenergy
0.01517	keV	Si I     MS	Si I     MS-edge edgeenergy
0.01504	keV	Mg II    MS	Mg II    MS-edge edgeenergy
0.0147	keV	Fe I     MD	Fe I     MD-edge edgeenergy
0.01453	keV	N I      LP	N I      LP-edge edgeenergy
0.01362	keV	O I      LP	O I      LP-edge edgeenergy
0.0136	keV	H I      K	H I      K-edge edgeenergy
0.01187	keV	Ca II    MP	Ca II    MP-edge edgeenergy
0.01126	keV	C I      LP	C I      LP-edge edgeenergy
0.01036	keV	S I      MP	S I      MP-edge edgeenergy
0.008152	keV	Si I     MP	Si I     MP-edge edgeenergy
0.007902	keV	Fe I     N	Fe I     N-edge edgeenergy
0.007646	keV	Mg I     MS	Mg I     MS-edge edgeenergy
0.007637	keV	Ni I     N	Ni I     N-edge edgeenergy
0.006113	keV	Ca I     MP	Ca I     MP-edge edgeenergy
